鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易備註,備註,電梯,停車位所在樓層,編號
仁德區,房地(土地+建物),臺南市仁德區太子北路236號四樓之1,37.92,其他,,,1110625,土地3建物1車位0,四層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,111.05,3,2,2,有,有,9300000,83743,,,,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣4910000元整、建物買賣價款新台幣4390000元整。,有,,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號四樓之5,42.62,其他,,,1120331,土地3建物1車位1,四層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,124.8,3,2,2,有,有,11000000,85543,一樓平面,13.75,1500000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣5110000元整、建物買賣價款新台幣4390000元整。,有,1,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號四樓之3,42.64,其他,,,1120131,土地3建物1車位1,四層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,124.87,3,2,2,有,有,11380000,88912,一樓平面,13.75,1500000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣5530000元整、建物買賣價款新台幣4350000元整。,有,1,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號五樓之2,42.64,其他,,,1111025,土地3建物1車位1,五層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,124.87,3,2,2,有,有,11800000,92692,一樓平面,13.75,1500000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣5450000元整、建物買賣價款新台幣4850000元整。,有,1,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號五樓之5,43.56,其他,,,1110626,土地3建物1車位1,五層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,127.56,3,2,2,有,有,10900000,83742,一樓平面,16.5,1600000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣4910000元整、建物買賣價款新台幣4390000元整。,有,1,
仁德區,房地(土地+建物),臺南市仁德區仁義里仁義五街57巷1弄11號,95.31,其他,,,1130321,土地1建物1車位0,,002,透天厝,住家用,鋼筋混凝土造,0740510,100.46,5,2,4,有,無,15050000,149811,,,,其他增建,,無,,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號二樓之2,42.64,其他,,,1111229,土地3建物1車位1,二層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,124.87,3,2,2,有,有,10950000,85042,一樓平面,13.75,1500000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣5100000元整、建物買賣價款新台幣4350000元整。,有,1,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號二樓之1,42.62,其他,,,1111229,土地3建物1車位1,二層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,124.8,3,2,2,有,有,10850000,84193,一樓平面,13.75,1500000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣4960000元整、建物買賣價款新台幣4390000元整。,有,1,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號二樓之3,42.64,其他,,,1110619,土地3建物1車位1,二層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,124.87,3,2,2,有,有,10600000,81893,一樓平面,13.75,1500000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣4750000元整、建物買賣價款新台幣4350000元整。,有,1,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號三樓之1,42.62,其他,,,1111222,土地3建物1車位1,三層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,124.8,3,2,2,有,有,11000000,85543,一樓平面,13.75,1500000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣5110000元整、建物買賣價款新台幣4390000元整。,有,1,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號三樓之3,42.64,其他,,,1110624,土地3建物1車位1,三層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,124.87,3,2,2,有,有,10650000,82342,一樓平面,13.75,1500000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣4800000元整、建物買賣價款新台幣4350000元整。,有,1,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號五樓之1,42.62,其他,,,1111106,土地3建物1車位1,五層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,124.8,3,2,2,有,有,11350000,88695,一樓平面,13.75,1500000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣4960000元整、建物買賣價款新台幣4890000元整。,有,1,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號五樓之3,43.58,其他,,,1110626,土地3建物1車位1,五層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,127.62,3,2,2,有,有,11600000,89991,一樓平面,16.5,1600000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣5650000元整、建物買賣價款新台幣4350000元整。,有,1,
仁德區,房地(土地+建物),臺南市仁德區仁義二街91號,136.07,其他,,,1130223,土地1建物1車位0,,004,透天厝,住家用,鋼筋混凝土造,1121116,277.99,4,2,6,有,無,32000000,115112,,,,,,無,,
仁德區,房地(土地+建物),臺南市仁德區仁義二街89號,99.82,其他,,,1130207,土地1建物1車位0,,004,透天厝,住家用,鋼筋混凝土造,1121116,261.54,4,2,6,有,無,30000000,114705,,,,,,無,,
歸仁區,房地(土地+建物),臺南市歸仁區七甲里七甲五街102巷67之11號,87.57,,特定農業區,甲種建築用地,1121221,土地4建物1車位0,,004,透天厝,住家用,見其他登記事項,1060413,178.06,4,2,3,有,無,9200000,51668,,,,親友、員工、共有人或其他特殊關係間之交易,,無,,
關廟區,土地,埤子頭段12470000,2473,,一般農業區,農牧用地,1130227,土地1建物0車位0,,,,,,,,,,,無,無,7647000,3092,,,,,,,,
關廟區,房地(土地+建物)+車位,臺南市關廟區北新一街10號十樓之1,22.43,其他,,,1121220,土地1建物1車位1,十層,010,華夏,見其他登記事項,鋼筋混凝土造,1121117,90.52,2,2,1,有,有,6050000,66833,坡道機械,15.87,,,,有,B1,
仁德區,土地,神農段05070001,877.68,其他,,,1130329,土地3建物0車位0,,,,,,,,,,,無,無,7726592,8803,,,,(包含)公共設施保留地(用地),,,,
仁德區,土地,神農段02640000,671.36,其他,,,1130329,土地4建物0車位0,,,,,,,,,,,無,無,6012656,8956,,,,(包含)公共設施保留地(用地),,,,
歸仁區,土地,成功段06160000,310.08,其他,,,1130226,土地4建物0車位0,,,,,,,,,,,無,無,13360000,43086,,,,未登記建物,含未保存建物金額新台幣10萬元,,,
歸仁區,房地(土地+建物),臺南市歸仁區崙頂里崙頂三街111號,326.38,其他,,,1130226,土地2建物2車位0,,004,透天厝,住家用,鋼筋混凝土造,1021202,457.48,7,2,4,有,無,36000000,78692,,,,,,無,,
仁德區,土地,林仔段07540000,463.58,其他,,,1130329,土地4建物0車位0,,,,,,,,,,,無,無,7959132,17169,,,,(包含)公共設施保留地(用地),,,,
歸仁區,土地,大同段06630000,7.31,其他,,,1130320,土地1建物0車位0,,,,,,,,0,0,0,無,無,265200,36268,,,,親友、員工、共有人或其他特殊關係間之交易　未登記建物,,,,
關廟區,房地(土地+建物),臺南市關廟區五權街2巷19號,113.58,其他,,,1130110,土地2建物1車位0,,003,透天厝,住家用,見其他登記事項,1090313,174.91,5,2,3,有,無,12000000,68607,,,,,,無,,
仁德區,房地(土地+建物),臺南市仁德區中山路513號五樓之3,8.11,其他,,,1130318,土地1建物1車位0,五層,014,住宅大樓,住家用,鋼筋混凝土造,0870813,102.8,3,2,2,有,有,6000000,58366,,,,,,有,,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路218號四樓之1,29.65,其他,,,1110221,土地1建物1車位1,四層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,136.37,3,2,2,有,有,10090000,79488,坡道平面,25.79,1300000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B2,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路216號六樓之2,33.36,其他,,,1100822,土地1建物1車位1,六層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,152.33,3,2,2,有,有,9550000,67567,坡道平面,25.79,1000000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B2,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路226號三樓之2,33.36,其他,,,1100910,土地1建物1車位1,三層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,152.38,3,2,2,有,有,9780000,68567,坡道平面,25.79,1100000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B2,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路226號四樓之1,22.24,其他,,,1101025,土地1建物1車位1,四層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,109.37,2,2,1,有,有,6770000,67837,坡道平面,25.79,1100000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B2,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路222號十樓之5,37.07,其他,,,1110606,土地1建物1車位1,十層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,165.98,4,2,2,有,有,15220000,97156,坡道平面,25.79,1600000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B1,
